Company Code,Month year,Plant Code,GL Account Code,GL LV1 Name,FM. Loc Amt,PnL Name,Cost Center Code
1000,Jun 2023,1013,0064130110,CP CCDC,-383055,Chi phí bán hàng,1015201013
1000,Jun 2023,1013,0064130130,CP CCDC,-3656593,Chi phí bán hàng,1015201013
1000,Jun 2023,1013,0064140110,CP KH TSCĐ,-4663875,Chi phí bán hàng,1015201013
1000,Jun 2023,1115,0064110100,CP Nhân viên,-101003693,Chi phí bán hàng,1028101115
1000,Jun 2023,1115,0064110110,CP Nhân viên,-7561646,Chi phí bán hàng,1028101115
1000,Jun 2023,1115,0064110120,CP Nhân viên,-17636062,Chi phí bán hàng,1028101115
1000,Jun 2023,1115,0064110130,CP Nhân viên,-95886803,Chi phí bán hàng,1028101115
1000,Jun 2023,1115,0064110150,CP Nhân viên,-12302500,Chi phí bán hàng,1028101115
1000,Jun 2023,1115,0064110160,CP Nhân viên,-400000,Chi phí bán hàng,1028101115
1000,Jun 2023,1115,0064110170,CP Nhân viên,-12243000,Chi phí bán hàng,1028101115
1000,Jun 2023,1115,0064110180,CP Nhân viên,-1399200,Chi phí bán hàng,1028101115
1000,Jun 2023,1115,0064110190,CP Nhân viên,-2098800,Chi phí bán hàng,1028101115
1000,Jun 2023,1115,0064110200,CP Nhân viên,-699600,Chi phí bán hàng,1028101115
1000,Jun 2023,1115,0064120120,CP vật liệu phụ,-13605985,Chi phí bán hàng,1028101115
1000,Jun 2023,1115,0064120130,CP vật liệu phụ,-1071342,Chi phí bán hàng,1028101115
1000,Jun 2023,1115,0064130140,CP CCDC,-166250,Chi phí bán hàng,1028101115
1000,Jun 2023,1115,0064140100,CP KH TSCĐ,-24435039,Chi phí bán hàng,1028101115
1000,Jun 2023,1115,0064151100,CP Còn lại,-3149080,Chi phí bán hàng,1028101115
1000,Jun 2023,1115,0064171100,CP Thuê ngoài,-55000000,Chi phí bán hàng,1028101115
1000,Jun 2023,1115,0064172110,"CP sửa chữa, bảo trì",-1049125,Chi phí bán hàng,1028101115
1000,Jun 2023,1115,0064173100,CP hành chính,-10852506,Chi phí bán hàng,1028101115
1000,Jun 2023,1115,0064173110,CP hành chính,-916452,Chi phí bán hàng,1028101115
1000,Jun 2023,1115,0064173150,CP hành chính,-400000,Chi phí bán hàng,1028101115
1000,Jun 2023,1115,0064180110,CP Còn lại,-1690000,Chi phí bán hàng,1028101115
1000,Jun 2023,1115,0064180210,CP chuyển tiền,-11067927,Chi phí bán hàng,1028101115
1000,Jun 2023,1115,0064180280,CP Marketing & Khuyến mãi,0,Chi phí bán hàng,1028101115
1000,Jun 2023,1115,0064180340,CP Còn lại,-152708,Chi phí bán hàng,1028101115
1000,Jun 2023,1255,0064110100,CP Nhân viên,-44011503,Chi phí bán hàng,1011101255
1000,Jun 2023,1255,0064110110,CP Nhân viên,-3106850,Chi phí bán hàng,1011101255
1000,Jun 2023,1255,0064110120,CP Nhân viên,-6810700,Chi phí bán hàng,1011101255
1000,Jun 2023,1255,0064110130,CP Nhân viên,-33978705,Chi phí bán hàng,1011101255
1000,Jun 2023,1255,0064110150,CP Nhân viên,-5320000,Chi phí bán hàng,1011101255
1000,Jun 2023,1255,0064110160,CP Nhân viên,-300000,Chi phí bán hàng,1011101255
1000,Jun 2023,1255,0064110170,CP Nhân viên,-5267500,Chi phí bán hàng,1011101255
1000,Jun 2023,1255,0064110180,CP Nhân viên,-602000,Chi phí bán hàng,1011101255
1000,Jun 2023,1255,0064110190,CP Nhân viên,-903000,Chi phí bán hàng,1011101255
1000,Jun 2023,1255,0064110200,CP Nhân viên,-301000,Chi phí bán hàng,1011101255
1000,Jun 2023,1255,0064120120,CP vật liệu phụ,-5165966,Chi phí bán hàng,1011101255
1000,Jun 2023,1255,0064120140,CP vật liệu phụ,-850884,Chi phí bán hàng,1011101255
1000,Jun 2023,1255,0064130140,CP CCDC,-1186250,Chi phí bán hàng,1011101255
1000,Jun 2023,1255,0064151100,CP Còn lại,417292,Chi phí bán hàng,1011101255
1000,Jun 2023,1255,0064171100,CP Thuê ngoài,-48361304,Chi phí bán hàng,1011101255
1000,Jun 2023,1255,0064172110,"CP sửa chữa, bảo trì",-500000,Chi phí bán hàng,1011101255
1000,Jun 2023,1255,0064173100,CP hành chính,-3653760,Chi phí bán hàng,1011101255
1000,Jun 2023,1255,0064173110,CP hành chính,-120894,Chi phí bán hàng,1011101255
1000,Jun 2023,1255,0064180110,CP Còn lại,-830000,Chi phí bán hàng,1011101255
1000,Jun 2023,1255,0064180210,CP chuyển tiền,-5439988,Chi phí bán hàng,1011101255
