Company Code,Month year,Plant Code,GL Account Code,GL LV1 Name,FM. Loc Amt,PnL Name,Cost Center Code
1000,Jul 2024,1013,0064140110,CP KH TSCĐ,-4663875,Chi phí bán hàng,1015201013
1000,Jul 2024,1115,0064110100,CP Nhân viên,-102833495,Chi phí bán hàng,1028101115
1000,Jul 2024,1115,0064110110,CP Nhân viên,-7846583,Chi phí bán hàng,1028101115
1000,Jul 2024,1115,0064110120,CP Nhân viên,-12117532,Chi phí bán hàng,1028101115
1000,Jul 2024,1115,0064110130,CP Nhân viên,-71465174,Chi phí bán hàng,1028101115
1000,Jul 2024,1115,0064110150,CP Nhân viên,-11480000,Chi phí bán hàng,1028101115
1000,Jul 2024,1115,0064110160,CP Nhân viên,-300000,Chi phí bán hàng,1028101115
1000,Jul 2024,1115,0064110170,CP Nhân viên,-10227000,Chi phí bán hàng,1028101115
1000,Jul 2024,1115,0064110180,CP Nhân viên,-1168800,Chi phí bán hàng,1028101115
1000,Jul 2024,1115,0064110190,CP Nhân viên,-1753200,Chi phí bán hàng,1028101115
1000,Jul 2024,1115,0064110200,CP Nhân viên,-584400,Chi phí bán hàng,1028101115
1000,Jul 2024,1115,0064120120,CP vật liệu phụ,-9759818,Chi phí bán hàng,1028101115
1000,Jul 2024,1115,0064120130,CP vật liệu phụ,-3118856,Chi phí bán hàng,1028101115
1000,Jul 2024,1115,0064120140,CP vật liệu phụ,-15674099,Chi phí bán hàng,1028101115
1000,Jul 2024,1115,0064130100,CP CCDC,-1794056,Chi phí bán hàng,1028101115
1000,Jul 2024,1115,0064130110,CP CCDC,-252084,Chi phí bán hàng,1028101115
1000,Jul 2024,1115,0064130130,CP CCDC,-3162043,Chi phí bán hàng,1028101115
1000,Jul 2024,1115,0064130140,CP CCDC,-4047592,Chi phí bán hàng,1028101115
1000,Jul 2024,1115,0064130150,CP CCDC,-3009235,Chi phí bán hàng,1028101115
1000,Jul 2024,1115,0064140130,CP KH TSCĐ,-2929075,Chi phí bán hàng,1028101115
1000,Jul 2024,1115,0064151100,CP Còn lại,-3070273,Chi phí bán hàng,1028101115
1000,Jul 2024,1115,0064171100,CP Thuê ngoài,-60500000,Chi phí bán hàng,1028101115
1000,Jul 2024,1115,0064172100,"CP sửa chữa, bảo trì",-9038270,Chi phí bán hàng,1028101115
1000,Jul 2024,1115,0064172110,"CP sửa chữa, bảo trì",-4894308,Chi phí bán hàng,1028101115
1000,Jul 2024,1115,0064173100,CP hành chính,-10974374,Chi phí bán hàng,1028101115
1000,Jul 2024,1115,0064173110,CP hành chính,-842000,Chi phí bán hàng,1028101115
1000,Jul 2024,1115,0064173120,CP hành chính,-274382,Chi phí bán hàng,1028101115
1000,Jul 2024,1115,0064173160,CP hành chính,-4475275,Chi phí bán hàng,1028101115
1000,Jul 2024,1115,0064173180,CP Còn lại,-5400000,Chi phí bán hàng,1028101115
1000,Jul 2024,1115,0064173190,CP Còn lại,-410400,Chi phí bán hàng,1028101115
1000,Jul 2024,1115,0064180100,CP Còn lại,0,Chi phí bán hàng,1028101115
1000,Jul 2024,1115,0064180110,CP Còn lại,-2800112,Chi phí bán hàng,1028101115
1000,Jul 2024,1115,0064180210,CP chuyển tiền,-14229745,Chi phí bán hàng,1028101115
1000,Jul 2024,1115,0064180250,CP Marketing & Khuyến mãi,-19000000,Chi phí bán hàng,
1000,Jul 2024,1115,0064180250,CP Marketing & Khuyến mãi,19000000,Chi phí bán hàng,1028101115
1000,Jul 2024,1115,0064180340,CP Còn lại,-5165001,Chi phí bán hàng,1028101115
