Company Code,Month year,Plant Code,GL Account Code,GL LV1 Name,FM. Loc Amt,PnL Name,Cost Center Code
1000,10 2024,1558,0064172110,"CP sửa chữa, bảo trì",469572338,Chi phí bán hàng,1011101558
1000,10 2024,1277,0064172110,"CP sửa chữa, bảo trì",499824814,Chi phí bán hàng,1015101277
1000,10 2024,1617,0064172110,"CP sửa chữa, bảo trì",75749918,Chi phí bán hàng,1015101617
1000,10 2024,1401,0064172110,"CP sửa chữa, bảo trì",142796979,Chi phí bán hàng,1016101401
1000,10 2024,1579,0064172110,"CP sửa chữa, bảo trì",219595028,Chi phí bán hàng,1019101579
1000,10 2024,1314,0064172110,"CP sửa chữa, bảo trì",178423115,Chi phí bán hàng,1027101314
1000,10 2024,1115,0064172110,"CP sửa chữa, bảo trì",10432350,Chi phí bán hàng,1028101115
1000,10 2024,1404,0064172110,"CP sửa chữa, bảo trì",179225067,Chi phí bán hàng,1028101404
1000,10 2024,1575,0064172110,"CP sửa chữa, bảo trì",223710688,Chi phí bán hàng,1028101575
1000,10 2024,1596,0064172110,"CP sửa chữa, bảo trì",282553055,Chi phí bán hàng,1028101596
1000,10 2024,1376,0064172110,"CP sửa chữa, bảo trì",160350925,Chi phí bán hàng,1051101376
1000,10 2024,1516,0064172110,"CP sửa chữa, bảo trì",7027044,Chi phí bán hàng,1051101516
1000,11 2024,1617,0064172110,"CP sửa chữa, bảo trì",15149983.5,Chi phí bán hàng,1015101617
1000,11 2024,1558,0064172110,"CP sửa chữa, bảo trì",25054774.5,Chi phí bán hàng,1011101558
1000,11 2024,1277,0064172110,"CP sửa chữa, bảo trì",29881452.5,Chi phí bán hàng,1015101277
1000,11 2024,1516,0064172110,"CP sửa chữa, bảo trì",413355.5,Chi phí bán hàng,1051101516
1000,11 2024,1579,0064172110,"CP sửa chữa, bảo trì",14639668.5,Chi phí bán hàng,1019101579
1000,11 2024,1314,0064172110,"CP sửa chữa, bảo trì",13724855,Chi phí bán hàng,1027101314
1000,11 2024,1376,0064172110,"CP sửa chữa, bảo trì",12334686.5,Chi phí bán hàng,1051101376
1000,11 2024,1401,0064172110,"CP sửa chữa, bảo trì",10984383,Chi phí bán hàng,1016101401
1000,11 2024,1596,0064172110,"CP sửa chữa, bảo trì",28255305.5,Chi phí bán hàng,1028101596
1000,11 2024,1575,0064172110,"CP sửa chữa, bảo trì",13981918,Chi phí bán hàng,1028101575
1000,11 2024,1404,0064172110,"CP sửa chữa, bảo trì",12801790.5,Chi phí bán hàng,1028101404
1000,11 2024,1115,0064172110,"CP sửa chữa, bảo trì",3477450,Chi phí bán hàng,1028101115
1000,12 2024,1617,0064172110,"CP sửa chữa, bảo trì",15149983.5,Chi phí bán hàng,1015101617
1000,12 2024,1558,0064172110,"CP sửa chữa, bảo trì",25054774.5,Chi phí bán hàng,1011101558
1000,12 2024,1277,0064172110,"CP sửa chữa, bảo trì",29881452.5,Chi phí bán hàng,1015101277
1000,12 2024,1516,0064172110,"CP sửa chữa, bảo trì",413355.5,Chi phí bán hàng,1051101516
1000,12 2024,1579,0064172110,"CP sửa chữa, bảo trì",14639668.5,Chi phí bán hàng,1019101579
1000,12 2024,1314,0064172110,"CP sửa chữa, bảo trì",13724855,Chi phí bán hàng,1027101314
1000,12 2024,1376,0064172110,"CP sửa chữa, bảo trì",12334686.5,Chi phí bán hàng,1051101376
1000,12 2024,1401,0064172110,"CP sửa chữa, bảo trì",10984383,Chi phí bán hàng,1016101401
1000,12 2024,1596,0064172110,"CP sửa chữa, bảo trì",28255305.5,Chi phí bán hàng,1028101596
1000,12 2024,1575,0064172110,"CP sửa chữa, bảo trì",13981918,Chi phí bán hàng,1028101575
1000,12 2024,1404,0064172110,"CP sửa chữa, bảo trì",12801790.5,Chi phí bán hàng,1028101404
1000,12 2024,1115,0064172110,"CP sửa chữa, bảo trì",3477450,Chi phí bán hàng,1028101115
