Company Code,Month year,Product Group 2 Code,Product Group 3 Code,Product Group 4 Code,Plant Code,Channel Description,Product Group 2 Name,Product Group 3 Name,Product Group 4 Name,SD∑ Qty,SD## Customer
1000,Oct 2023,PC,PC0,PC000,1013,Retail,LOẠI KHÁC,LOẠI KHÁC,LOẠI KHÁC,33,1
1000,Oct 2023,PC,PCM,PCM00,1013,Retail,LOẠI KHÁC,MISCELLANEOUS,BÁCH HÓA TỔNG HỢP,71,1
1000,Oct 2023,PC,PCM,PCM00,1115,Retail,LOẠI KHÁC,MISCELLANEOUS,BÁCH HÓA TỔNG HỢP,1,1
1000,Oct 2023,PC,PCM,PCM00,1256,Retail,LOẠI KHÁC,MISCELLANEOUS,BÁCH HÓA TỔNG HỢP,13,11
1000,Oct 2023,PC,PCM,PCM00,1277,Retail,LOẠI KHÁC,MISCELLANEOUS,BÁCH HÓA TỔNG HỢP,19,11
1000,Oct 2023,PC,PCM,PCM00,1294,Retail,LOẠI KHÁC,MISCELLANEOUS,BÁCH HÓA TỔNG HỢP,2,1
1000,Oct 2023,PC,PCM,PCM00,1307,Retail,LOẠI KHÁC,MISCELLANEOUS,BÁCH HÓA TỔNG HỢP,1,1
1000,Oct 2023,PC,PCM,PCM00,1314,Retail,LOẠI KHÁC,MISCELLANEOUS,BÁCH HÓA TỔNG HỢP,2,1
1000,Oct 2023,PC,PCM,PCM00,1316,Retail,LOẠI KHÁC,MISCELLANEOUS,BÁCH HÓA TỔNG HỢP,6,3
1000,Oct 2023,PC,PCM,PCM00,1317,Retail,LOẠI KHÁC,MISCELLANEOUS,BÁCH HÓA TỔNG HỢP,2,2
1000,Oct 2023,PC,PCM,PCM00,1330,Retail,LOẠI KHÁC,MISCELLANEOUS,BÁCH HÓA TỔNG HỢP,21,2
1000,Oct 2023,PC,PCM,PCM00,1370,Retail,LOẠI KHÁC,MISCELLANEOUS,BÁCH HÓA TỔNG HỢP,3,4
1000,Oct 2023,PC,PCM,PCM00,1373,Retail,LOẠI KHÁC,MISCELLANEOUS,BÁCH HÓA TỔNG HỢP,19,9
1000,Oct 2023,PC,PCM,PCM00,1409,Retail,LOẠI KHÁC,MISCELLANEOUS,BÁCH HÓA TỔNG HỢP,2,2
1000,Oct 2023,PC,PCM,PCM00,1473,Retail,LOẠI KHÁC,MISCELLANEOUS,BÁCH HÓA TỔNG HỢP,0,1
1000,Oct 2023,PC,PCM,PCM00,1489,Retail,LOẠI KHÁC,MISCELLANEOUS,BÁCH HÓA TỔNG HỢP,12,2
1000,Oct 2023,PC,PCM,PCM00,1504,Retail,LOẠI KHÁC,MISCELLANEOUS,BÁCH HÓA TỔNG HỢP,6,3
1000,Oct 2023,PC,PCM,PCM00,1534,Retail,LOẠI KHÁC,MISCELLANEOUS,BÁCH HÓA TỔNG HỢP,5,4
1000,Oct 2023,PC,PCM,PCM00,1558,Retail,LOẠI KHÁC,MISCELLANEOUS,BÁCH HÓA TỔNG HỢP,1,1
1000,Oct 2023,PC,PCS,PCS00,1115,Online,LOẠI KHÁC,SERVICE,SERVICE,1,1
1000,Oct 2023,PC,PCS,PCS00,1115,Retail,LOẠI KHÁC,SERVICE,SERVICE,59.85,37
1000,Oct 2023,PC,PCS,PCS00,1255,Retail,LOẠI KHÁC,SERVICE,SERVICE,23,15
1000,Oct 2023,PC,PCS,PCS00,1256,Retail,LOẠI KHÁC,SERVICE,SERVICE,62.969,39
1000,Oct 2023,PC,PCS,PCS00,1277,Online,LOẠI KHÁC,SERVICE,SERVICE,2,2
1000,Oct 2023,PC,PCS,PCS00,1277,Retail,LOẠI KHÁC,SERVICE,SERVICE,89.5,63
1000,Oct 2023,PC,PCS,PCS00,1278,Retail,LOẠI KHÁC,SERVICE,SERVICE,17.5,15
1000,Oct 2023,PC,PCS,PCS00,1280,Retail,LOẠI KHÁC,SERVICE,SERVICE,26,20
1000,Oct 2023,PC,PCS,PCS00,1294,Online,LOẠI KHÁC,SERVICE,SERVICE,1,1
1000,Oct 2023,PC,PCS,PCS00,1294,Retail,LOẠI KHÁC,SERVICE,SERVICE,14.5,10
1000,Oct 2023,PC,PCS,PCS00,1295,Retail,LOẠI KHÁC,SERVICE,SERVICE,17.465,13
1000,Oct 2023,PC,PCS,PCS00,1307,Retail,LOẠI KHÁC,SERVICE,SERVICE,17.111,13
1000,Oct 2023,PC,PCS,PCS00,1308,Online,LOẠI KHÁC,SERVICE,SERVICE,1,1
1000,Oct 2023,PC,PCS,PCS00,1308,Retail,LOẠI KHÁC,SERVICE,SERVICE,8.739999999999998,5
1000,Oct 2023,PC,PCS,PCS00,1314,Retail,LOẠI KHÁC,SERVICE,SERVICE,60.097,40
1000,Oct 2023,PC,PCS,PCS00,1316,Retail,LOẠI KHÁC,SERVICE,SERVICE,78,58
