Company Code,Month year,Product Group 2 Code,Product Group 3 Code,Product Group 4 Code,Plant Code,Channel Description,Product Group 2 Name,Product Group 3 Name,Product Group 4 Name,SD∑ Qty,SD## Customer
1000,Mar 2024,PC,PC0,PC000,1255,Retail,LOẠI KHÁC,LOẠI KHÁC,LOẠI KHÁC,1,1
1000,Mar 2024,PC,PC0,PC000,1477,Retail,LOẠI KHÁC,LOẠI KHÁC,LOẠI KHÁC,1,1
1000,Mar 2024,PC,PC0,PC000,1489,Retail,LOẠI KHÁC,LOẠI KHÁC,LOẠI KHÁC,1,1
1000,Mar 2024,PC,PC0,PC000,1504,Retail,LOẠI KHÁC,LOẠI KHÁC,LOẠI KHÁC,1,1
1000,Mar 2024,PC,PC0,PC000,1558,Retail,LOẠI KHÁC,LOẠI KHÁC,LOẠI KHÁC,3,3
1000,Mar 2024,PC,PCM,PCM00,1013,Retail,LOẠI KHÁC,MISCELLANEOUS,BÁCH HÓA TỔNG HỢP,140,1
1000,Mar 2024,PC,PCM,PCM00,1115,Retail,LOẠI KHÁC,MISCELLANEOUS,BÁCH HÓA TỔNG HỢP,11,2
1000,Mar 2024,PC,PCM,PCM00,1255,Retail,LOẠI KHÁC,MISCELLANEOUS,BÁCH HÓA TỔNG HỢP,5,5
1000,Mar 2024,PC,PCM,PCM00,1256,Retail,LOẠI KHÁC,MISCELLANEOUS,BÁCH HÓA TỔNG HỢP,4,4
1000,Mar 2024,PC,PCM,PCM00,1277,Retail,LOẠI KHÁC,MISCELLANEOUS,BÁCH HÓA TỔNG HỢP,5,3
1000,Mar 2024,PC,PCM,PCM00,1280,Retail,LOẠI KHÁC,MISCELLANEOUS,BÁCH HÓA TỔNG HỢP,1,1
1000,Mar 2024,PC,PCM,PCM00,1314,Retail,LOẠI KHÁC,MISCELLANEOUS,BÁCH HÓA TỔNG HỢP,1,1
1000,Mar 2024,PC,PCM,PCM00,1316,Retail,LOẠI KHÁC,MISCELLANEOUS,BÁCH HÓA TỔNG HỢP,1,1
1000,Mar 2024,PC,PCM,PCM00,1317,Retail,LOẠI KHÁC,MISCELLANEOUS,BÁCH HÓA TỔNG HỢP,1,1
1000,Mar 2024,PC,PCM,PCM00,1373,Retail,LOẠI KHÁC,MISCELLANEOUS,BÁCH HÓA TỔNG HỢP,19,3
1000,Mar 2024,PC,PCM,PCM00,1376,Retail,LOẠI KHÁC,MISCELLANEOUS,BÁCH HÓA TỔNG HỢP,11,2
1000,Mar 2024,PC,PCM,PCM00,1401,Retail,LOẠI KHÁC,MISCELLANEOUS,BÁCH HÓA TỔNG HỢP,10,1
1000,Mar 2024,PC,PCM,PCM00,1404,Retail,LOẠI KHÁC,MISCELLANEOUS,BÁCH HÓA TỔNG HỢP,10,1
1000,Mar 2024,PC,PCM,PCM00,1447,Retail,LOẠI KHÁC,MISCELLANEOUS,BÁCH HÓA TỔNG HỢP,11,2
1000,Mar 2024,PC,PCM,PCM00,1470,Retail,LOẠI KHÁC,MISCELLANEOUS,BÁCH HÓA TỔNG HỢP,1,1
1000,Mar 2024,PC,PCM,PCM00,1489,Retail,LOẠI KHÁC,MISCELLANEOUS,BÁCH HÓA TỔNG HỢP,5,3
