Company Code,Month year,Plant Code,GL Account Code,FM 08_Finance Income,FM 09_Finance Expenses,FM 14_Other Income,FM 15_Other Expenses
1000,Jan 2023,1013,0071100200,,,153020,
1000,Jan 2023,1013,0081100200,,,,-2822133
1000,Jan 2023,1115,0063580000,,-13946290,,
1000,Jan 2023,1115,0071100200,,,1932082,
1000,Jan 2023,1115,0081100200,,,,-231664
1000,Jan 2023,1255,0063580000,,-673416,,
1000,Jan 2023,1255,0071100200,,,7974,
1000,Jan 2023,1256,0063580000,,-2163027,,
1000,Jan 2023,1256,0071100200,,,647538,
1000,Jan 2023,1256,0081100200,,,,-140000
1000,Jan 2023,1277,0063580000,,-657572,,
1000,Jan 2023,1277,0071100200,,,537151,
1000,Jan 2023,1277,0081100200,,,,-857070
1000,Jan 2023,1278,0063580000,,-140250,,
1000,Jan 2023,1278,0071100200,,,47256,
1000,Jan 2023,1279,0071100200,,,751,
1000,Jan 2023,1280,0071100200,,,2239,
1000,Jan 2023,1280,0081100200,,,,-400
1000,Jan 2023,1294,0063580000,,-171738,,
1000,Jan 2023,1294,0071100200,,,150986,
1000,Jan 2023,1294,0081100200,,,,-245200
1000,Jan 2023,1295,0063580000,,-1913157,,
1000,Jan 2023,1295,0071100200,,,1742693,
1000,Jan 2023,1295,0081100200,,,,-4955
1000,Jan 2023,1307,0063580000,,-419950,,
1000,Jan 2023,1307,0071100200,,,464719,
1000,Jan 2023,1308,0063580000,,-321874,,
1000,Jan 2023,1308,0071100200,,,592061,
1000,Jan 2023,1308,0081100200,,,,-1940
1000,Jan 2023,1314,0071100200,,,1066105,
1000,Jan 2023,1316,0063580000,,-1678410,,
1000,Jan 2023,1316,0071100200,,,2024362,
1000,Jan 2023,1317,0063580000,,-1937867,,
1000,Jan 2023,1317,0071100200,,,2281,
1000,Jan 2023,1318,0063580000,,-4349830,,
1000,Jan 2023,1318,0071100200,,,12932,
1000,Jan 2023,1318,0081100200,,,,-1559
1000,Jan 2023,1329,0071100200,,,105000,
1000,Jan 2023,1330,0063580000,,-1098322,,
1000,Jan 2023,1330,0071100200,,,390419,
1000,Jan 2023,1330,0081100200,,,,-590800
1000,Jan 2023,1370,0063580000,,-1176364,,
1000,Jan 2023,1370,0071100200,,,126902,
1000,Jan 2023,1370,0081100200,,,,-768
1000,Jan 2023,1373,0063580000,,-11069085,,
1000,Jan 2023,1373,0071100200,,,789198,
1000,Jan 2023,1373,0081100200,,,,-1260500
1000,Jan 2023,1376,0063580000,,-9517721,,
1000,Jan 2023,1376,0071100200,,,2070923,
1000,Jan 2023,1376,0081100200,,,,-1353967
1000,Jan 2023,1401,0063580000,,-727138,,
1000,Jan 2023,1401,0071100100,,,1090909,
1000,Jan 2023,1401,0071100200,,,731798,
1000,Jan 2023,1401,0081100200,,,,-100
1000,Jan 2023,1402,0063580000,,-2680614,,
1000,Jan 2023,1402,0071100200,,,1039,
1000,Jan 2023,1402,0081100200,,,,-260
1000,Jan 2023,1404,0071100200,,,30766,
1000,Jan 2023,1404,0081100200,,,,-40000
1000,Jan 2023,1405,0063580000,,-2245922,,
1000,Jan 2023,1405,0081100200,,,,-906
1000,Jan 2023,1409,0071100200,,,1140,
1000,Jan 2023,1445,0063580000,,-776424,,
1000,Jan 2023,1445,0071100200,,,527316,
1000,Jan 2023,1445,0081100200,,,,-220324
1000,Jan 2023,1447,0063580000,,-634693,,
1000,Jan 2023,1447,0071100200,,,468297,
1000,Jan 2023,1447,0081100200,,,,-1080000
1000,Jan 2023,1467,0063580000,,-1738072,,
1000,Jan 2023,1470,0063580000,,-635788,,
1000,Jan 2023,1470,0071100200,,,-1,
1000,Jan 2023,1473,0071100200,,,346756,
1000,Jan 2023,1473,0081100200,,,,-88
1000,Jan 2023,1477,0071100200,,,192640,
1000,Jan 2023,1489,0063580000,,-4372212,,
1000,Jan 2023,1489,0071100200,,,412987,
1000,Jan 2023,1489,0081100200,,,,-496014
1000,Jan 2023,1493,0063580000,,-9354662,,
1000,Jan 2023,1493,0071100200,,,123447,
1000,Jan 2023,1504,0063580000,,-211726,,
1000,Jan 2023,1504,0071100200,,,113728,
1000,Jan 2023,1504,0081100200,,,,-10100
1000,Jan 2023,1516,0063580000,,-2342539,,
1000,Jan 2023,1516,0071100200,,,213310,
1000,Jan 2023,1517,0071100200,,,2378831,
1000,Jan 2023,1517,0081100200,,,,-200
1000,Jan 2023,1532,0063580000,,-554968,,
1000,Jan 2023,1532,0071100200,,,300,
1000,Jan 2023,1532,0081100200,,,,-6351
1000,Jan 2023,1534,0063580000,,-5320694,,
1000,Jan 2023,1534,0071100200,,,475125,
1000,Jan 2023,1534,0081100200,,,,-200
1000,Jan 2023,1539,0063580000,,-410034,,
1000,Jan 2023,1539,0071100200,,,210483,
1000,Jan 2023,1539,0081100200,,,,-788
1000,Jan 2023,1541,0063580000,,-2015530,,
1000,Jan 2023,1541,0071100200,,,86100,
1000,Jan 2023,1541,0081100200,,,,-3227
1000,Jan 2023,1548,0063580000,,-1058151,,
1000,Jan 2023,1548,0071100200,,,87858,
1000,Jan 2023,1548,0081100200,,,,-11597
1000,Jan 2023,1555,0063580000,,-168518,,
1000,Jan 2023,1558,0071100200,,,56723,
1000,Jan 2023,400000,0051510000,2414161,,,
1000,Jan 2023,400000,0071100100,,,909091,
1000,Jan 2023,400000,0071100200,,,13401218,
1000,Jan 2023,400000,0081100200,,,,-36
