Company Code,Month year,Plant Code,GL Account Code,FM 08_Finance Income,FM 09_Finance Expenses,FM 14_Other Income,FM 15_Other Expenses
1000,Nov 2024,1013,0071100200,,,3948583,
1000,Nov 2024,1013,0081100200,,,,-18385018
1000,Nov 2024,1115,0063580000,,-5452522,,
1000,Nov 2024,1115,0071100200,,,6188911,
1000,Nov 2024,1115,0081100200,,,,-8598116
1000,Nov 2024,1255,0063580000,,-493680,,
1000,Nov 2024,1255,0071100200,,,4348,
1000,Nov 2024,1256,0063580000,,-8819615,,
1000,Nov 2024,1256,0071100200,,,9489782,
1000,Nov 2024,1256,0081100200,,,,-11478333
1000,Nov 2024,1277,0063580000,,-3875652,,
1000,Nov 2024,1277,0071100200,,,10729265,
1000,Nov 2024,1277,0081100200,,,,-3733
1000,Nov 2024,1278,0063580000,,-2319673,,
1000,Nov 2024,1278,0071100200,,,40340,
1000,Nov 2024,1278,0081100200,,,,-1420
1000,Nov 2024,1280,0071100200,,,5726,
1000,Nov 2024,1294,0063580000,,-1655612,,
1000,Nov 2024,1294,0071100200,,,426711,
1000,Nov 2024,1295,0063580000,,-3472138,,
1000,Nov 2024,1295,0071100200,,,917641,
1000,Nov 2024,1307,0071100200,,,6100,
1000,Nov 2024,1307,0081100200,,,,-550
1000,Nov 2024,1314,0063580000,,-2496013,,
1000,Nov 2024,1314,0071100200,,,1746959,
1000,Nov 2024,1314,0081100200,,,,-654529
1000,Nov 2024,1316,0063580000,,-11066082,,
1000,Nov 2024,1316,0071100200,,,7125443,
1000,Nov 2024,1316,0081100200,,,,-6878577
1000,Nov 2024,1317,0063580000,,-2603010,,
1000,Nov 2024,1317,0071100200,,,3469061,
1000,Nov 2024,1317,0081100200,,,,-40
1000,Nov 2024,1318,0063580000,,-7215102,,
1000,Nov 2024,1318,0071100200,,,283790,
1000,Nov 2024,1318,0081100200,,,,-7521
1000,Nov 2024,1329,0071100200,,,251355,
1000,Nov 2024,1329,0081100200,,,,-3546698
1000,Nov 2024,1330,0063580000,,-19970026,,
1000,Nov 2024,1330,0071100200,,,1727390,
1000,Nov 2024,1330,0081100200,,,,-3884
1000,Nov 2024,1370,0063580000,,-3795943,,
1000,Nov 2024,1370,0071100200,,,600,
1000,Nov 2024,1373,0063580000,,-1749987,,
1000,Nov 2024,1373,0071100200,,,1647277,
1000,Nov 2024,1373,0081100200,,,,-2270676
1000,Nov 2024,1376,0063580000,,-746072,,
1000,Nov 2024,1376,0071100200,,,1116371,
1000,Nov 2024,1376,0081100200,,,,-1578946
1000,Nov 2024,1401,0071100200,,,5792721,
1000,Nov 2024,1401,0081100200,,,,-2235757
1000,Nov 2024,1404,0071100200,,,7137025,
1000,Nov 2024,1405,0063580000,,-2036580,,
1000,Nov 2024,1405,0071100200,,,1398685,
1000,Nov 2024,1405,0081100200,,,,-4678
1000,Nov 2024,1409,0071100200,,,3745,
1000,Nov 2024,1445,0071100200,,,1740004,
1000,Nov 2024,1447,0063580000,,-3244627,,
1000,Nov 2024,1447,0071100200,,,6558314,
1000,Nov 2024,1447,0081100200,,,,-1603355
1000,Nov 2024,1467,0071100200,,,840,
1000,Nov 2024,1467,0081100200,,,,-1
1000,Nov 2024,1470,0071100200,,,994734,
1000,Nov 2024,1473,0071100200,,,1759469,
1000,Nov 2024,1473,0081100200,,,,-3531
1000,Nov 2024,1477,0081100200,,,,-443
1000,Nov 2024,1489,0071100200,,,3893,
1000,Nov 2024,1489,0081100200,,,,-1628679
1000,Nov 2024,1493,0063580000,,-1009976,,
1000,Nov 2024,1493,0071100200,,,42840,
1000,Nov 2024,1504,0063580000,,-3992629,,
1000,Nov 2024,1504,0071100200,,,4814072,
1000,Nov 2024,1504,0081100200,,,,-3991330
1000,Nov 2024,1516,0063580000,,-7616702,,
1000,Nov 2024,1516,0071100200,,,1032457,
1000,Nov 2024,1517,0071100200,,,1522613,
1000,Nov 2024,1517,0081100200,,,,-1341476
1000,Nov 2024,1532,0063580000,,-1521658,,
1000,Nov 2024,1532,0071100200,,,815327,
1000,Nov 2024,1532,0081100200,,,,-1012581
1000,Nov 2024,1534,0063580000,,-335786,,
1000,Nov 2024,1534,0071100200,,,4884242,
1000,Nov 2024,1534,0081100200,,,,-3973598
1000,Nov 2024,1539,0063580000,,-1764378,,
1000,Nov 2024,1539,0071100200,,,2970230,
1000,Nov 2024,1539,0081100200,,,,-1525669
1000,Nov 2024,1541,0071100200,,,337692,
1000,Nov 2024,1541,0081100200,,,,317043
1000,Nov 2024,1548,0063580000,,-2423173,,
1000,Nov 2024,1548,0071100200,,,950720,
1000,Nov 2024,1548,0081100200,,,,-6285
1000,Nov 2024,1555,0071100200,,,251520,
1000,Nov 2024,1555,0081100200,,,,-1192
1000,Nov 2024,1558,0063580000,,-749603,,
1000,Nov 2024,1558,0071100200,,,1510570,
1000,Nov 2024,1558,0081100200,,,,-763514
1000,Nov 2024,1565,0063580000,,-681057,,
1000,Nov 2024,1565,0071100200,,,174661,
1000,Nov 2024,1565,0081100200,,,,-640
1000,Nov 2024,1575,0071100200,,,4426210,
1000,Nov 2024,1579,0063580000,,-876554,,
1000,Nov 2024,1579,0071100200,,,194163,
1000,Nov 2024,1596,0071100200,,,3841072,
1000,Nov 2024,1596,0081100200,,,,2344388
1000,Nov 2024,1617,0063580000,,-630135,,
1000,Nov 2024,1617,0071100200,,,5581332,
1000,Nov 2024,1617,0081100200,,,,-814536
1000,Nov 2024,1627,0063580000,,-147178,,
1000,Nov 2024,1627,0071100200,,,497392,
1000,Nov 2024,1632,0071100200,,,1278393,
1000,Nov 2024,1632,0081100200,,,,-763921
1000,Nov 2024,1634,0071100200,,,207976,
1000,Nov 2024,1634,0081100200,,,,-535
1000,Nov 2024,400000,0051510000,2397824,,,
1000,Nov 2024,400000,0071100200,,,69226,
1000,Nov 2024,400000,0081100200,,,,-4836
