Company Code,Month year,Plant Code,GL Account Code,FM 08_Finance Income,FM 09_Finance Expenses,FM 14_Other Income,FM 15_Other Expenses
1000,Nov 2023,1013,0071100200,,,5743360,
1000,Nov 2023,1013,0081100200,,,,-9801316
1000,Nov 2023,1115,0063580000,,-5666073,,
1000,Nov 2023,1115,0071100200,,,6288736,
1000,Nov 2023,1115,0081100200,,,,-8367817
1000,Nov 2023,1255,0063580000,,-2537169,,
1000,Nov 2023,1255,0071100200,,,95761,
1000,Nov 2023,1256,0063580000,,-2031479,,
1000,Nov 2023,1256,0071100200,,,9225207,
1000,Nov 2023,1256,0081100200,,,,-1553224
1000,Nov 2023,1277,0063580000,,-9949706,,
1000,Nov 2023,1277,0071100200,,,-4800618,
1000,Nov 2023,1277,0081100200,,,,-585724
1000,Nov 2023,1278,0063580000,,-1558021,,
1000,Nov 2023,1278,0071100200,,,50667,
1000,Nov 2023,1278,0081100200,,,,-2580
1000,Nov 2023,1280,0071100200,,,1903457,
1000,Nov 2023,1294,0063580000,,-2003101,,
1000,Nov 2023,1294,0071100200,,,1124784,
1000,Nov 2023,1295,0063580000,,-3872454,,
1000,Nov 2023,1295,0071100200,,,20,
1000,Nov 2023,1307,0063580000,,-199470,,
1000,Nov 2023,1307,0071100200,,,8228,
1000,Nov 2023,1308,0063580000,,-768519,,
1000,Nov 2023,1308,0071100200,,,3950,
1000,Nov 2023,1308,0081100200,,,,-12372
1000,Nov 2023,1314,0063580000,,-688926,,
1000,Nov 2023,1314,0071100200,,,804962,
1000,Nov 2023,1314,0081100200,,,,-130000
1000,Nov 2023,1316,0063580000,,-5992132,,
1000,Nov 2023,1316,0071100200,,,5256546,
1000,Nov 2023,1316,0081100200,,,,-920
1000,Nov 2023,1317,0063580000,,-3048104,,
1000,Nov 2023,1317,0071100200,,,1877752,
1000,Nov 2023,1317,0081100200,,,,-533
1000,Nov 2023,1318,0063580000,,-4678235,,
1000,Nov 2023,1318,0071100200,,,741465,
1000,Nov 2023,1318,0081100200,,,,-2307
1000,Nov 2023,1329,0071100200,,,448152,
1000,Nov 2023,1330,0071100200,,,1399797,
1000,Nov 2023,1330,0081100200,,,,-1001000
1000,Nov 2023,1370,0063580000,,-8475914,,
1000,Nov 2023,1370,0071100200,,,252310,
1000,Nov 2023,1370,0081100200,,,,-155880
1000,Nov 2023,1373,0063580000,,-2360364,,
1000,Nov 2023,1373,0071100200,,,3054992,
1000,Nov 2023,1373,0081100200,,,,-2432
1000,Nov 2023,1376,0063580000,,-375592,,
1000,Nov 2023,1376,0071100200,,,1424356,
1000,Nov 2023,1376,0081100200,,,,-1546261
1000,Nov 2023,1401,0071100200,,,-247347,
1000,Nov 2023,1401,0081100200,,,,-2918447
1000,Nov 2023,1402,0063580000,,-2063112,,
1000,Nov 2023,1402,0071100200,,,477208,
1000,Nov 2023,1402,0081100200,,,,-3840
1000,Nov 2023,1404,0071100200,,,-70788165,
1000,Nov 2023,1404,0081100200,,,,-534
1000,Nov 2023,1405,0063580000,,-620539,,
1000,Nov 2023,1405,0071100200,,,108552,
1000,Nov 2023,1405,0081100200,,,,-2480
1000,Nov 2023,1409,0071100200,,,3671,
1000,Nov 2023,1445,0063580000,,-618030,,
1000,Nov 2023,1445,0071100200,,,2444087,
1000,Nov 2023,1445,0081100200,,,,-525642
1000,Nov 2023,1447,0063580000,,-147027,,
1000,Nov 2023,1447,0071100200,,,1359465,
1000,Nov 2023,1447,0081100200,,,,-1860
1000,Nov 2023,1467,0071100200,,,625,
1000,Nov 2023,1470,0071100200,,,1,
1000,Nov 2023,1473,0071100200,,,-19630300,
1000,Nov 2023,1473,0081100200,,,,-500
1000,Nov 2023,1477,0071100200,,,253919,
1000,Nov 2023,1477,0081100200,,,,-667
1000,Nov 2023,1489,0063580000,,-1053312,,
1000,Nov 2023,1489,0071100200,,,178321,
1000,Nov 2023,1489,0081100200,,,,-800
1000,Nov 2023,1493,0063580000,,-4265348,,
1000,Nov 2023,1493,0071100200,,,44253,
1000,Nov 2023,1493,0081100200,,,,-620
1000,Nov 2023,1504,0071100200,,,2219947,
1000,Nov 2023,1504,0081100200,,,,-86880
1000,Nov 2023,1516,0063580000,,-2507214,,
1000,Nov 2023,1516,0071100200,,,854958,
1000,Nov 2023,1516,0081100200,,,,-592991
1000,Nov 2023,1517,0063580000,,-925650,,
1000,Nov 2023,1517,0071100200,,,450675,
1000,Nov 2023,1517,0081100200,,,,-2309494
1000,Nov 2023,1532,0063580000,,-520000,,
1000,Nov 2023,1532,0071100200,,,510546,
1000,Nov 2023,1532,0081100200,,,,-1260633
1000,Nov 2023,1534,0063580000,,-1068450,,
1000,Nov 2023,1534,0071100200,,,1728954,
1000,Nov 2023,1534,0081100200,,,,-8356072
1000,Nov 2023,1539,0071100200,,,844048,
1000,Nov 2023,1539,0081100200,,,,-1959050
1000,Nov 2023,1541,0071100200,,,2344589,
1000,Nov 2023,1541,0081100200,,,,-490492
1000,Nov 2023,1548,0063580000,,-1616925,,
1000,Nov 2023,1548,0071100200,,,454487,
1000,Nov 2023,1548,0081100200,,,,-7308
1000,Nov 2023,1555,0063580000,,-1532978,,
1000,Nov 2023,1555,0071100200,,,1867,
1000,Nov 2023,1558,0071100200,,,1996855,
1000,Nov 2023,1558,0081100200,,,,-1073117
1000,Nov 2023,1565,0071100200,,,83015,
1000,Nov 2023,1565,0081100200,,,,-905
1000,Nov 2023,1575,0071100200,,,81135,
1000,Nov 2023,1575,0081100200,,,,-400
1000,Nov 2023,1579,0071100200,,,237864,
1000,Nov 2023,1595,0071100200,,,1,
1000,Nov 2023,1596,0071100200,,,94875,
1000,Nov 2023,400000,0051510000,1856975,,,
1000,Nov 2023,400000,0071100200,,,1600,
